invoice_id,vendor,amount_usd,invoice_date,due_date,paid
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Wolfe LLC,3557.71,2025-04-25,2025-07-26,Yes
23b8c1e9-3924-46de-beb1-3b9046685257,Moore-Bernard,1100.04,2023-09-08,2025-07-12,Yes
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Garcia-James,2100.12,2024-04-12,2025-07-17,Yes
972a8469-1641-4f82-8b9d-2434e465e150,Abbott-Munoz,1892.84,2024-01-23,2025-06-28,Yes
17fc695a-07a0-4a6e-8822-e8f36c031199,Blair PLC,3945.88,2024-06-08,2025-08-20,No
9a1de644-815e-46d1-bb8f-aa1837f8a88b,Dudley Group,3706.8,2024-10-27,2025-07-08,Yes
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Arnold Ltd,4568.72,2025-03-30,2025-08-12,No
6b65a6a4-8b81-48f6-b38a-088ca65ed389,"Mcclure, Ward and Lee",1347.76,2024-03-31,2025-07-15,No
47378190-96da-4dac-b2ff-5d2a386ecbe0,Williams and Sons,2687.69,2023-10-26,2025-07-07,Yes
c241330b-01a9-471f-9e8a-774bcf36d58b,Galloway-Wyatt,1119.19,2024-04-04,2025-08-05,Yes
